<23, 14><31, 12>
<23, 15><31, 12>
<23, 16><31, 12>
<24, 16><31, 12>
<23, 17><31, 12>
<40, 7><31, 12>
<49, 8><31, 12>
<40, 8><31, 12>
<41, 8><31, 12>
<40, 9><31, 12>
<49, 10><31, 12>
<40, 10><31, 12>
<41, 10><31, 12>
<40, 11><31, 12>
<40, 7><30, 12>
<49, 8><30, 12>
<40, 8><30, 12>
<41, 8><30, 12>
<40, 9><30, 12>
<49, 10><30, 12>
<40, 10><30, 12>
<41, 10><30, 12>
<40, 11><30, 12>
<2, 12><30, 12>
<3, 12><30, 12>
<2, 13><30, 12>
<9, 12><30, 12>
<10, 12><30, 12>
<9, 13><30, 12>
<16, 12><30, 12>
<17, 12><30, 12>
<16, 13><30, 12>
<23, 12><30, 12>
<24, 12><30, 12>
<23, 13><30, 12>
<2, 14><30, 12>
<2, 15><30, 12>
<2, 16><30, 12>
<3, 16><30, 12>
<2, 17><30, 12>
<9, 14><30, 12>
<9, 15><30, 12>
<9, 16><30, 12>
<10, 16><30, 12>
<9, 17><30, 12>
<16, 14><30, 12>
<16, 15><30, 12>
<16, 16><30, 12>
<17, 16><30, 12>
<16, 17><30, 12>
<23, 14><30, 12>
<23, 15><30, 12>
<23, 16><30, 12>
<24, 16><30, 12>
<23, 17><30, 12>
<40, 7><30, 12>
<49, 8><30, 12>
<40, 8><30, 12>
<41, 8><30, 12>
<40, 9><30, 12>
<49, 10><30, 12>
<40, 10><30, 12>
<41, 10><30, 12>
<40, 11><30, 12>
<40, 7><29, 12>
<49, 8><29, 12>
<40, 8><29, 12>
<41, 8><29, 12>
<40, 9><29, 12>
<49, 10><29, 12>
<40, 10><29, 12>
<41, 10><29, 12>
<40, 11><29, 12>
<2, 12><29, 12>
<3, 12><29, 12>
<2, 13><29, 12>
<9, 12><29, 12>
<10, 12><29, 12>
<9, 13><29, 12>
<16, 12><29, 12>
<17, 12><29, 12>
<16, 13><29, 12>
Failed to write | '/    \\' |to| <23, 11> |using| color 1280|. |<29, 12>|.
<23, 12><29, 12>
<24, 12><29, 12>
<23, 13><29, 12>
<2, 14><29, 12>
<2, 15><29, 12>
<2, 16><29, 12>
<3, 16><29, 12>
<2, 17><29, 12>
<9, 14><29, 12>
<9, 15><29, 12>
<9, 16><29, 12>
<10, 16><29, 12>
<9, 17><29, 12>
<16, 14><29, 12>
<16, 15><29, 12>
<16, 16><29, 12>
<17, 16><29, 12>
<16, 17><29, 12>
<23, 14><29, 12>
<23, 15><29, 12>
<23, 16><29, 12>
<24, 16><29, 12>
<23, 17><29, 12>
<40, 7><29, 12>
<49, 8><29, 12>
<40, 8><29, 12>
<41, 8><29, 12>
<40, 9><29, 12>
<49, 10><29, 12>
<40, 10><29, 12>
<41, 10><29, 12>
<40, 11><29, 12>
<40, 7><28, 12>
<49, 8><28, 12>
<40, 8><28, 12>
<41, 8><28, 12>
<40, 9><28, 12>
<49, 10><28, 12>
<40, 10><28, 12>
<41, 10><28, 12>
<40, 11><28, 12>
<2, 12><28, 12>
<3, 12><28, 12>
<2, 13><28, 12>
<9, 12><28, 12>
<10, 12><28, 12>
<9, 13><28, 12>
<16, 12><28, 12>
<17, 12><28, 12>
<16, 13><28, 12>
Failed to write | '/    ' |to| <23, 11> |using| color 1280|. |<28, 12>|.
<23, 12><28, 12>
<24, 12><28, 12>
<23, 13><28, 12>
<2, 14><28, 12>
<2, 15><28, 12>
<2, 16><28, 12>
<3, 16><28, 12>
<2, 17><28, 12>
<9, 14><28, 12>
<9, 15><28, 12>
<9, 16><28, 12>
<10, 16><28, 12>
<9, 17><28, 12>
<16, 14><28, 12>
<16, 15><28, 12>
<16, 16><28, 12>
<17, 16><28, 12>
<16, 17><28, 12>
<23, 14><28, 12>
<23, 15><28, 12>
<23, 16><28, 12>
<24, 16><28, 12>
<23, 17><28, 12>
<40, 7><28, 12>
<49, 8><28, 12>
<40, 8><28, 12>
<41, 8><28, 12>
<40, 9><28, 12>
<49, 10><28, 12>
<40, 10><28, 12>
<41, 10><28, 12>
<40, 11><28, 12>
<40, 7><27, 12>
<49, 8><27, 12>
<40, 8><27, 12>
<41, 8><27, 12>
<40, 9><27, 12>
<49, 10><27, 12>
<40, 10><27, 12>
<41, 10><27, 12>
<40, 11><27, 12>
<2, 12><27, 12>
<3, 12><27, 12>
<2, 13><27, 12>
<9, 12><27, 12>
<10, 12><27, 12>
<9, 13><27, 12>
<16, 12><27, 12>
<17, 12><27, 12>
<16, 13><27, 12>
Failed to write | '/   ' |to| <23, 11> |using| color 1280|. |<27, 12>|.
<23, 12><27, 12>
<24, 12><27, 12>
<23, 13><27, 12>
<2, 14><27, 12>
<2, 15><27, 12>
<2, 16><27, 12>
<3, 16><27, 12>
<2, 17><27, 12>
<9, 14><27, 12>
<9, 15><27, 12>
<9, 16><27, 12>
<10, 16><27, 12>
<9, 17><27, 12>
<16, 14><27, 12>
<16, 15><27, 12>
<16, 16><27, 12>
<17, 16><27, 12>
<16, 17><27, 12>
<23, 14><27, 12>
<23, 15><27, 12>
<23, 16><27, 12>
<24, 16><27, 12>
<23, 17><27, 12>
<40, 7><27, 12>
<49, 8><27, 12>
<40, 8><27, 12>
<41, 8><27, 12>
<40, 9><27, 12>
<49, 10><27, 12>
<40, 10><27, 12>
<41, 10><27, 12>
<40, 11><27, 12>
<40, 7><26, 12>
<49, 8><26, 12>
<40, 8><26, 12>
<41, 8><26, 12>
<40, 9><26, 12>
<49, 10><26, 12>
<40, 10><26, 12>
<41, 10><26, 12>
<40, 11><26, 12>
<2, 12><26, 12>
<3, 12><26, 12>
<2, 13><26, 12>
<9, 12><26, 12>
<10, 12><26, 12>
<9, 13><26, 12>
<16, 12><26, 12>
<17, 12><26, 12>
<16, 13><26, 12>
Failed to write | '/  ' |to| <23, 11> |using| color 1280|. |<26, 12>|.
<23, 12><26, 12>
<24, 12><26, 12>
<23, 13><26, 12>
<2, 14><26, 12>
<2, 15><26, 12>
<2, 16><26, 12>
<3, 16><26, 12>
<2, 17><26, 12>
<9, 14><26, 12>
<9, 15><26, 12>
<9, 16><26, 12>
<10, 16><26, 12>
<9, 17><26, 12>
<16, 14><26, 12>
